Abstract,Titulo_Real,Titulo_Predito,Score,Experimento
"  The Bose-Einstein condensation (BEC) critical temperature in a relativistic
ideal Bose gas of identical bosons, with and without the antibosons expected to
be pair-produced abundantly at sufficiently hot temperatures, is exactly
calculated for all boson number-densities, all boson point rest masses, and all
temperatures. The Helmholtz free energy at the critical BEC temperature is
found to be lower, thus implying that the omission of antibosons always leads
to the computation of a metastable state.
",Bose-Einstein Condensation in the Relativistic Ideal Bose Gas,Title: **Exact Calculation of the Bose-Einstein Condensation Critical Temperature in an Ideal Bose Gas: Pair-Produced Antibosons Abundant in Relativistic Boson Gas**,0.7449982,baseline
"  We investigate the classical scattering dynamics of the driven elliptical
billiard. Two fundamental scattering mechanisms are identified and employed to
understand the rich behavior of the escape rate. A long-time algebraic decay
which can be tuned by varying the driving amplitude is established. Pulsed
escape rates and decelerated escaping particles are generic properties of the
harmonically breathing billiard. This suggests time-dependent billiards as
prototype systems to study the nonequilibrium evolution of classical ensembles
encountering a multitude of scattering processes off driven targets.
",Scattering Dynamics of Driven Closed Billiards,A Long-Time Algebraic Decay for Driven Elliptical Billiards,0.70863867,baseline
"  We implement a well-established concept to consider dispersion effects within
a Poisson-Boltzmann approach of continuum solvation of proteins. The
theoretical framework is particularly suited for boundary element methods. Free
parameters are determined by comparison to experimental data as well as
high-level quantum mechanical reference calculations. The method is general and
can be easily extended in several directions. The model is tested on various
chemical substances and found to yield good-quality estimates of the solvation
free energy without obvious indication of any introduced bias. Once optimized,
the model is applied to a series of proteins, and factors such as protein size
or partial charge assignments are studied.
","Dispersion Terms and Analysis of Size- Charge Dependence in an Enhanced
  Poisson Boltzmann Approach","""Implementing a Well-Overlooked Concept: A Continuum Solvation Framework Using Quantum Mechanics""",0.23414287,baseline
"  We consider online competitive algorithms for the problem of collecting
weighted items from a dynamic set S, when items are added to or deleted from S
over time. The objective is to maximize the total weight of collected items. We
study the general version, as well as variants with various restrictions,
including the following: the uniform case, when all items have the same weight,
the decremental sets, when all items are present at the beginning and only
deletion operations are allowed, and dynamic queues, where the dynamic set is
ordered and only its prefixes can be deleted (with no restriction on
insertions). The dynamic queue case is a generalization of bounded-delay packet
scheduling (also referred to as buffer management). We present several upper
and lower bounds on the competitive ratio for these variants.
",Generalized Whac-a-Mole,"Title: Competitive Algorithms for Dynamic Item Collection in Online Computation

This title encapsulates the main focus of the research, which involves the competitive algorithms for managing items in a dynamic set over time. It highlights the need for efficient collection while considering changes in the item distribution and constraints such as deletions and insertions.

The",0.029173698,baseline
"  We present H- and K-band spectroscopy of OB and Wolf-Rayet (WR) members of
the Milky Way cluster 1806-20 (G10.0-0.3), to obtain a revised cluster distance
of relevance to the 2004 giant flare from the SGR 1806-20 magnetar. From GNIRS
spectroscopy obtained with Gemini South, four candidate OB stars are confirmed
as late O/early B supergiants, while we support previous mid WN and late WC
classifications for two WR stars. Based upon an absolute Ks-band magnitude
calibration for B supergiants and WR stars, and near-IR photometry from NIRI at
Gemini North plus archival VLT/ISAAC datasets, we obtain a cluster distance
modulus of 14.7+/-0.35 mag. The known stellar content of the 1806-20 cluster
suggests an age of 3-5 Myr, from which theoretical isochrone fits infer a
distance modulus of 14.7+/-0.7 mag. Together, our results favour a distance
modulus of 14.7+/-0.4 mag (8.7^+1.8_-1.5 kpc) to the 1806-20 cluster, which is
significantly lower than the nominal 15 kpc distance to the magnetar. For our
preferred distance, the peak luminosity of the December 2004 giant flare is
reduced by a factor of three to 7 X 10^46 erg/s, such that the contamination of
BATSE short gamma ray bursts (GRB's) from giant flares of extragalactic
magnetars is reduced to a few percent. We infer a magnetar progenitor mass of
~48^+20_-8 Msun, in close agreement with that obtained recently for the
magnetar in Westerlund 1.
","A downward revision to the distance of the 1806-20 cluster and
  associated magnetar from Gemini near-Infrared spectroscopy","H-K Band Spectroscopy Reveals Revised Cluster Distance of 14.7 Mag: Giant Flare Evidence

In a groundbreaking study, astronomers have conducted H-K band spectroscopy on several OB and WR members of the Milky Way cluster 1806-20, providing a detailed look into their stellar",0.6256857,baseline
"  We introduce two improvements in the numerical scheme to simulate collision
and slow shearing of irregular particles. First, we propose an alternative
approach based on simple relations to compute the frictional contact forces.
The approach improves efficiency and accuracy of the Discrete Element Method
(DEM) when modeling the dynamics of the granular packing. We determine the
proper upper limit for the integration step in the standard numerical scheme
using a wide range of material parameters. To this end, we study the kinetic
energy decay in a stress controlled test between two particles. Second, we show
that the usual way of defining the contact plane between two polygonal
particles is, in general, not unique which leads to discontinuities in the
direction of the contact plane while particles move. To solve this drawback, we
introduce an accurate definition for the contact plane based on the shape of
the overlap area between touching particles, which evolves continuously in
time.
",Modeling slow deformation of polygonal particles using DEM,Title: A Numerical Study of Frictional Contact Forces in Irregular Particle Packing Using Discrete Element Method (DEM),0.54183614,baseline
"  We present the results of relic density calculations for cold dark matter
candidates coming from a model of dark energy and dark matter, which is
described by an asymptotically free gauge group SU(2)_Z (QZD) with a coupling
constant alpha_Z ~ 1 at very low scale of Lambda_Z ~ 10^(-3) eV while alpha_Z ~
weak coupling at high energies. The dark matter candidates of QZD are two
fermions in the form of weakly interacting massive particles. Our results show
that for masses between 50 and 285 GeV, they can account for either a
considerable fraction or the entire dark matter of the Universe.
",The relic density of shadow dark matter candidates,"Title: ""Cold Dark Matter Candidates in the Asymptotically Free Gauge Group QZD: A Review""",0.52935314,baseline
"  Let $\mathcal{H}(b)$ denote the de Branges--Rovnyak space associated with a
function $b$ in the unit ball of $H^\infty(\mathbb{C}_+)$. We study the
boundary behavior of the derivatives of functions in $\mathcal{H}(b)$ and
obtain weighted norm estimates of the form $\|f^{(n)}\|_{L^2(\mu)} \le
C\|f\|_{\mathcal{H}(b)}$, where $f \in \mathcal{H}(b)$ and $\mu$ is a
Carleson-type measure on $\mathbb{C}_+\cup\mathbb{R}$. We provide several
applications of these inequalities. We apply them to obtain embedding theorems
for $\mathcal{H}(b)$ spaces. These results extend Cohn and Volberg--Treil
embedding theorems for the model (star-invariant) subspaces which are special
classes of de Branges--Rovnyak spaces. We also exploit the inequalities for the
derivatives to study stability of Riesz bases of reproducing kernels
$\{k^b_{\lambda_n}\}$ in $\mathcal{H}(b)$ under small perturbations of the
points $\lambda_n$.
","Weighted norm inequalities for de Branges--Rovnyak spaces and their
  applications","Title: ""The Role of Carleson Measures in De Branges-Rovnyak Spaces and Their Derivatives""
This title encapsulates the main topics of the research, including:
- De Branges-Rovnyak spaces
- Carleson measures
- Weighted norm estimates
- Boundary behavior of",0.61554873,baseline
"  We use metric formalism in $f(R)$ modified gravity to study the dynamics of
various systems from the solar system to the cosmological scale. we assume an
ansatz for the derivative of action as a function of distance and describe the
Pioneer anomaly and the flat rotation curve of the spiral galaxies. Having the
asymptotic behavior of action, we propose the action of $f(R) = (R + \Lambda)(1
+ \ln(R/R_c)/(R/R_0 + 2/\alpha))$ where in galactic and solar system scales it
can recover our desired form. The vacuum solution of this action also results
in a positive late time acceleration for the universe. We fix the parameters of
this model, comparing with the Pioneer anomaly, rotation curve of spiral
galaxies and Supernova Type Ia gold sample data.
",f(R) Gravity: From the Pioneer Anomaly to the Cosmic Acceleration,"A review of the effects of modified gravity on the dynamics of various astronomical systems, including galactic rotation curves, spiral galaxy dynamics, and supernova Type Ia data.",0.48358458,baseline
"  The temperature dependence of the optical conductivity spectrum of an
itinerant ferromagnetic material, ZrZn$_2$, was obtained and the dynamical
effective mass and the scattering rate were derived. A renormalized Drude peak
with a heavy effective mass developed at low temperatures. The effective mass
rapidly increased below $\hbar\omega$ = 10 meV and at 10 K it was observed to
be 3 times heavier than that at 300 K. The scattering rate also rapidly
decreased below 10 meV at 10 K. These results indicate the creation of heavy
quasiparticles at low temperatures due to spin fluctuations.
",Low-Energy Electrodynamics of Heavy Quasiparticles in ZrZn2,"Renormalization of the Drude peak with a heavy effective mass at low
temperatures.",0.24957421,baseline
"  Positive definite forms $f$ which are sums of squares are constructed to have
the additional property that the members of any collection of forms whose
squares sum to $f$ must share a nontrivial complex root.
",Existence of positive definite noncoercive sums of squares,Title: Constructing Positive Definite Forms Using Sums of Squares with Complex Roots as Root Sets,0.6011399,baseline
"  I present recent results of measurements of branching fractions and
CP-violating asymmetries in B0, Bs, and Lambda_B two-body charmless decays at
the upgraded Collider Detector at the Fermilab Tevatron. Measurements of rates
of flavor-changing neutral current B0, Bs -->mu+mu- and B+/B0/Bs --> mu+mu-
K+/K*0/phi decays are also reported. The results are extracted from samples
corresponding to time-intergrated luminosities ranging from 0.78 to 1 fb-1.
",Charmless b-hadron decays at CDF,"Recent Results for Flavor-Changing Neutral Current B0, Bs --> Mu+ Mu-, B+/B0/Bs --> Mu+ Mu- K+/K*0/phi Decays and CP-Violating Asymmetries in B0, Bs, and Lambda_B Two-Body Charmless Decays at the",0.56983995,baseline
"  The decision process requires information about the present state of the
system, but in economy acquiring data and processing them is an expensive and
time consuming process. Therefore the state of the system is measured and
announced at the end of the well defined time intervals. The model of a stock
market coupled with an economy is investigated and the role of the length of
the time delay of information flow investigated. It is shown that increasing
the time delay leads to collective behavior of agents and oscillations of
autocorrelations in absolute log-returns.
","The influence of the time delay of information flow on an economy
  evolution. The stock market analysis","""Time Delay Dynamics in Stock Market Ecosystems: A Study on Collective Behavior and Oscillations of Autocorrelation Measures""",0.6550762,baseline
"  One of the main goals of the COMPASS experiment at CERN is the determination
of the gluon polarisation in the nucleon, Delta G/G. It is determined from spin
asymmetries in the scattering of 160 GeV/c polarised muons on a polarised LiD
target. The gluon polarisation is accessed by the selection of photon-gluon
fusion (PGF) events. A very clean selection of PGF events can be obtained with
charmed mesons in the final state. Their detection is based on the
reconstruction of D* and D0 mesons in the COMPASS spectrometer. The analysis
method for the first measurement of Delta G/G from the open charm channel is
described and the result from COMPASS for the 2002-2004 data taking period is
presented.
",Determination of Delta G/G from Open Charm events at COMPASS,"Title: ""The COMPASS Experiment: Determining Gluon Polarization in the Nucleon via Photon-Gluon Fusion""",0.45897168,baseline
"  We modify a stellar structure code to estimate the effect upon the main
sequence of the accretion of weakly interacting dark matter onto stars and its
subsequent annihilation. The effect upon the stars depends upon whether the
energy generation rate from dark matter annihilation is large enough to shut
off the nuclear burning in the star. Main sequence WIMP burners look much like
protostars moving on the Hayashi track, although they are in principle
completely stable. We make some brief comments about where such stars could be
found, how they might be observed and more detailed simulations which are
currently in progress. Finally we comment on whether or not it is possible to
link the paradoxically young OB stars found at the galactic centre with WIMP
burners.
",The Zero Age Main Sequence of WIMP burners,"Title: A Stellar Structure Code for Dark Matter Accretion Simulations: Effects on the Main Sequence, WIMP Burners, and Observations

In this paper, we present a modified stellar structure code that estimates the effects of weakly interacting dark matter (WIMPs) onto stars and their subsequent annihilation.",0.23859581,baseline
"  The Dirac constraint formalism is applied to the d(d>2) dimensional
Einstein-Hilbert action when written in first order form, using the metric
density and affine connection as independent fields. Field equations not
involving time derivatives are not used to eliminate fields. Primary, secondary
and tertiary constraints arise, leaving d(d-3) degrees of freedom in phase
space. The Poisson Bracket algebra of these constraints is given.
",A Canonical Analysis of the First Order Einstein-Hilbert Action,The Dirac Constraint Formalism for Einstein-Hilbert Actions with Metric Density and Affine Connection Fields,0.7247095,baseline
"  Using the first-principles spin density functional approach, we have studied
magnetism of a new type of all-carbon nanomaterials, i.e., the carbon nanowires
inserted into the single-walled carbon nanotubes. It is found that if the 1D
carbon nanowire density is not too higher, the ferromagnetic ground state will
be more stable than the antiferromagnetic one, which is caused by weak coupling
between the 1D carbon nanowire and the single-walled carbon nanotube. Also,
both dimerization of the carbon nanowire and carbon vacancy on the tube-wall
are found to enhance the magnetic moment of the composite.
","Ferromagnetism of an all-carbon composite composed of a carbon nanowire
  nside a single-walled carbon nanotube","Title: The Role of Carbon Nanowires in Single-Walled Carbon Nanotube Magnetism via First-Principles Spin Density Functional Theory

This title encapsulates the key findings from the study of carbon nanowires inserted into single-walled carbon nanotubes (SWNTs) using the first-pr",0.750275,baseline
"  We analyse a maximum-likelihood approach for combining phylogenetic trees
into a larger `supertree'. This is based on a simple exponential model of
phylogenetic error, which ensures that ML supertrees have a simple
combinatorial description (as a median tree, minimising a weighted sum of
distances to the input trees). We show that this approach to ML supertree
reconstruction is statistically consistent (it converges on the true species
supertree as more input trees are combined), in contrast to the widely-used MRP
method, which we show can be statistically inconsistent under the exponential
error model. We also show that this statistical consistency extends to an ML
approach for constructing species supertrees from gene trees. In this setting,
incomplete lineage sorting (due to coalescence rates of homologous genes being
lower than speciation rates) has been shown to lead to gene trees that are
frequently different from species trees, and this can confound efforts to
reconstruct the species phylogeny correctly.
",Maximum Likelihood Supertrees,Title: Maximum Likelihood Supertree Construction: A New Approach Based on Exponential Error Models,0.84605426,baseline
"  We propose loading trapped ions into microtraps formed by an optical lattice.
For harmonic microtraps, the Coulomb coupling of the spatial motions of
neighboring ions can be used to construct a broad class of effective
short-range Hamiltonians acting on an internal degree of freedom of the ions.
For large anharmonicities, on the other hand, the spatial motion of the ions
itself represents a spin-1/2 model with frustrated dipolar XY interactions. We
illustrate the latter setup with three systems: the linear chain, the zig-zag
ladder, and the triangular lattice. In the frustrated zig-zag ladder with
dipolar interactions we find chiral ordering beyond what was predicted
previously for a next-nearest-neighbor model. In the frustrated anisotropic
triangular lattice with nearest-neighbor interactions we find that the
transition from the one-dimensional gapless spin-liquid phase to the
two-dimensional spiraling ordered phase passes through a gapped spin-liquid
phase, similar to what has been predicted for the same model with Heisenberg
interactions. Further, a second gapped spin-liquid phase marks the transition
to the two-dimensional Neel-ordered phase.
",Quantum Phases of Trapped Ions in an Optical Lattice,"Title: ""Loading Trapped Ions into Microtraps via Optical Lattices: Applications to Heterostructures and Frustrated Systems""",0.6918548,baseline
"  Nous presentons diverses applications des fibres vectoriels aux equations aux
q-differences, dans la lignee de la correspondance de Weil.
  (We present some applications of vector bundles to $q$-difference equtions,
in continuation of Weil's correspondance.)
","Equations aux q-differences et fibres vectoriels holomorphes sur la
  courbe elliptique C^*/q^Z","""Vector Bundles and q-Difference Equations: A Journey Through Fibers""",0.5971965,baseline
"  We study the evolution with magnetic field of the single-particle energy
levels high up in the energy spectrum of one dot as probed by the ground state
of the adjacent dot in a weakly coupled vertical quantum dot molecule. We find
that the observed spectrum is generally well accounted for by the calculated
spectrum for a two-dimensional elliptical parabolic confining potential, except
in several regions where two or more single-particle levels approach each
other. We focus on two two-level crossing regions which show unexpected
anti-crossing behavior and contrasting current dependences. Within a simple
coherent level mixing picture, we can model the current carried through the
coupled states of the probed dot provided the intrinsic variation with magnetic
field of the current through the states (as if they were uncoupled) is
accounted for by an appropriate interpolation scheme.
","Two level anti-crossings high up in the single-particle energy spectrum
  of a quantum dot","""Evolution of Single-Particle Energy Levels in Vertical Quantum Dot Molecules: Magnetic Field Effects and Two-Level Crossing Behavior""",0.7648884,baseline
"  The uniform recursive tree (URT) is one of the most important models and has
been successfully applied to many fields. Here we study exactly the topological
characteristics and spectral properties of the Laplacian matrix of a
deterministic uniform recursive tree, which is a deterministic version of URT.
Firstly, from the perspective of complex networks, we determine the main
structural characteristics of the deterministic tree. The obtained vigorous
results show that the network has an exponential degree distribution, small
average path length, power-law distribution of node betweenness, and positive
degree-degree correlations. Then we determine the complete Laplacian spectra
(eigenvalues) and their corresponding eigenvectors of the considered graph.
Interestingly, all the Laplacian eigenvalues are distinct.
","Topologies and Laplacian spectra of a deterministic uniform recursive
  tree","""Distinct Laplacian Spectra in Deterministically Uniform Recursive Trees""",0.9036436,baseline
"  We present the results of a muon-spin relaxation study of the high-Tc
analogue material Cs2AgF4. We find unambiguous evidence for magnetic order,
intrinsic to the material, below T_C=13.95(3) K. The ratio of inter- to
intraplane coupling is estimated to be |J'/J|=1.9 x 10^-2, while fits of the
temperature dependence of the order parameter reveal a critical exponent
beta=0.292(3), implying an intermediate character between pure two- and three-
dimensional magnetism in the critical regime. Above T_C we observe a signal
characteristic of dipolar interactions due to linear F-mu-F bonds, allowing the
muon stopping sites in this compound to be characterized.
","Magnetism in the high-Tc analogue Cs2AgF4 studied with muon-spin
  relaxation",Title: A Study of Magnetic Order and Interactions in Cs2AgF4: Evidence for Dipolar Interactions and Implications for Two-Dimensional Magnetism,0.73167634,baseline
"  The rare kaon decays K_L -> pi^0 nu {bar nu}, K^+ -> pi^+ nu {bar nu}, K_L ->
pi^0 e^+ e^- and K_L -> pi^0 mu^+ mu^- are theoretically very clean and, being
strongly CKM suppressed, highly sensitive to New Physics (NP). Recent Flavour
Physics analyses show that they represent unique probes for revealing NP
effects and to provide information on the NP flavour structure. After a brief
discussion of the main properties that make rare K decays so promising and of
the basic ideas of the most interesting NP models, we review the results of
recent phenomenological analyses both within and beyond the framework of
Minimal Flavour Violation (MFV), where the sources of flavour violation are the
same as in the Standard Model. Within MFV we present the expectations found for
rare K decays from a model-independent analysis and in three MFV models: the
Littlest Higgs (LH) model, the (extra-dimension) Appelquist-Cheng-Dobrescu
model and the Minimal Supersymmetric Standard Model (MSSM) with MFV. Beyond
MFV, we discuss the results recently found within the MSSM (without MFV), the
LH model with T-parity (LHT) and the 3-3-1 (Z') model. While in MFV models only
small (<30%) NP effects are allowed in the branching ratios of K_L -> pi^0 nu
{bar nu}, K^+ -> pi^+ nu {bar nu}, K_L -> pi^0 e^+ e^- and K_L -> pi^0 mu^+
mu^-, beyond MFV, in particular in the MSSM and in the LHT model, large (up to
an order of magnitude) enhancements w.r.t. the SM turn out to be possible.
",Rare Kaon Decays Beyond the Standard Model,Rare Kaon Decays: Exploring New Physics and Flavor Violations (with emphasis on insights into new physics effects and flavor structure),0.8037965,baseline
"  This paper describes the Linguistic Annotation Framework under development
within ISO TC37 SC4 WG1. The Linguistic Annotation Framework is intended to
serve as a basis for harmonizing existing language resources as well as
developing new ones.
",International Standard for a Linguistic Annotation Framework,Title: The Linguistic Annotation Framework: A Framework for Harmonizing and Developing Language Resources,0.8309716,baseline
"  This document is a brief overview of two documents which continue to develop
the weight function theory of basis function smoothers and interpolants. One
document considers the zero order theory and one considers the positive order
theory.
","Overview document for: A weight function theory of basis function
  interpolants and smoothers","""Weighted Spline Theory: A Comprehensive Review""",0.44476217,baseline
"  We classify minimal transitive subsemigroups of the finitary inverse
symmetric semigroup modulo the classification of minimal transitive subgroups
of finite symmetric groups; and semitransitive subsemigroups of the finite
inverse symmetric semigroup of the minimal cardinality modulo the
classification of transitive subgroups of the minimal cardinality of finite
symmetric groups.
","Semitransitive and transitive subsemigroups of the inverse symmetric
  semigroups",Minimal Transitive Subsemigroups: Classification and Examples (PDF),0.6921314,baseline
"  We present here a new method, MMF, for automatically segmenting cosmic
structure into its basic components: clusters, filaments, and walls.
Importantly, the segmentation is scale independent, so all structures are
identified without prejudice as to their size or shape. The method is ideally
suited for extracting catalogues of clusters, walls, and filaments from samples
of galaxies in redshift surveys or from particles in cosmological N-body
simulations: it makes no prior assumptions about the scale or shape of the
structures.}
","The Multiscale Morphology Filter: Identifying and Extracting Spatial
  Patterns in the Galaxy Distribution",Automatic Segmentation of Cosmic Structure: A Method Based on Scale Invariance (PDF),0.58347595,baseline
"  Large mixing parameters of neutrino mass eigenstates in the neutrino flavor
eigenstates are determined, and interpreted as closely related to the neutrino
and charged lepton mass-ratio patterns. The three known seemingly different
charged lepton and quasi-degenerate neutrino deviation-from-extreme hierarchies
are shown to be three particular manifestations of one unifying quadratic
hierarchy-rule in lepton flavor physics.
","Universal Quadratic Hierarchy Rule in Lepton Flavor Physics and Large
  Neutrino Mixing","Title: ""The Unification of Flavor Physics: Neutrino Mixing Parameters and Charged Lepton/Helicity Hierarchies""",0.6207795,baseline
"  We introduce a new class of canonical AZD's (called the supercanonical AZD's)
on the canonical bundles of smooth projective varieties with pseudoeffective
canonical classes. We study the variation of the supercanonical AZD
$\hat{h}_{can}$ under projective deformations and give a new proof of the
invariance of plurigenera.
",Canonical singular hermitian metrics on relative canonical bundles,"Title: Varieties, Pseudoeffectivity, and Canonical Azumaya Structures

Abstract:
In this paper, we introduce a new class of canonical AZD's (called the supercanonical AZD's) that arise from the canonical bundles of smooth projective varieties over algebraically closed fields. We study the variation",0.41824847,baseline
"  We study the conjectured exact S-matrix for the scattering of BPS magnon
boundstates in the spin-chain description of planar N=4 SUSY Yang-Mills. The
conjectured S-matrix exhibits both simple and double poles at complex momenta.
Some of these poles lie parametrically close to the real axis in momentum space
on the branch where particle energies are positive. We show that all such poles
are precisely accounted for by physical processes involving one or more
on-shell intermediate particles belonging to the known BPS spectrum.
",Singularities of the Magnon Boundstate S-Matrix,Exact S-matrix for magnons bound states in the spin chain description of planar N=4 SYK theory,0.6744753,baseline
"  The supremum of reduction numbers of ideals having principal reductions is
expressed in terms of the integral degree, a new invariant of the ring, which
is finite provided the ring has finite integral closure. As a consequence, one
obtains bounds for the Castelnuovo-Mumford regularity of the Rees algebra and
for the Artin-Rees numbers.
",Integral degree of a ring and reduction numbers,Title: Bounds for the reduction numbers of ideals with principal reductions and their application to the Castelnuovo-Mumford regularity and Artin-Rees numbers.,0.530908,baseline
"  We describe new no-go theorems for producing four-dimensional accelerating
universes from warped dimensional reduction. The new theorems improve upon
previous results by including dynamical extra dimensions and by treating
four-dimensional universes that are not precisely de Sitter. The theorems show
there exists a threshold four-dimensional equation-of-state parameter w below
which the number of e-foldings of expansion is bounded, and give expressions
for the maximum number of allowed e-foldings. In the generic case, the bound
must be satisfied if the higher-dimensional theory satisfies the strong energy
condition. If the compactification manifold M is one-dimensional, or if its
(intrinsic) Ricci scalar R is identically zero, then the bound must be
satisfied if the higher-dimensional theory satisfies the null energy condition.
",New no-go theorems for cosmic acceleration with extra dimensions,The Threshold Theorem for Four-Dimensional Accelerating Universes: A New Approach to Einstein's Fourth Law,0.6045066,baseline
"  We consider the interaction between a relativistic fireball and material
assumed to be still located just outside the progenitor star. Only a small
fraction of the expected mass is sufficient to efficiently decelerate the
fireball, leading to dissipation of most of its kinetic energy. Since the
scattering optical depths are still large at distances comparable to the
progenitor radius, the dissipated energy is trapped in the system, accelerating
it to relativistic velocities. The process resembles the birth of another
fireball at radii R~1e11 cm, not far from the transparency radius, and with a
starting bulk Lorentz factors Gamma_c~10. As seen in the observer frame, this
""re--generated"" fireball appears collimated within an angle theta_j=1/Gamma_c.
If the central engine works intermittently, the funnel can, at least partially,
refill and the process can repeat itself. We discuss how this idea can help
solving some open issues of the more conventional internal shock scenario for
interpreting the Gamma-Ray Burst properties.
",Re-born fireballs in Gamma-Ray Bursts,"Title: ""The Birth of Another Fireball: A Review of Relativistic Dynamics and Interstellar Scattering Effects""",0.6484028,baseline
"  A scheme for probabilistic entanglement generation between two distant single
electron doped quantum dots, each placed in a high-Q microcavity, by detecting
strong coherent light which has interacted dispersively with both subsystems
and experienced Faraday rotation due to the spin selective trion transitions is
discussed. In order to assess the applicability of the scheme for distant
entanglement generation between atomic qubits proposed by T.D. Ladd et al. [New
J. Phys. 8, 184 (2006)] to two distant quantum dots, one needs to understand
the limitations imposed by hyperfine interactions of the quantum dot spin with
the nuclear spins of the material and by non-identical quantum dots.
Feasibility is displayed by calculating the fidelity for Bell state generation
analytically within an approximate framework. The fidelity is evaluated for a
wide range of parameters and different pulse lengths, yielding a trade-off
between signal and decoherence, as well as a set of optimal parameters.
Strategies to overcome the effect of non-identical quantum dots on the fidelity
are examined and the timescales imposed by the nuclear spins are discussed,
showing that efficient entanglement generation is possible with distant quantum
dots. In this context, effects due to light hole transitions become important
and have to be included. The scheme is discussed for one- as well as for
two-sided cavities, where one must be careful with reflected light which
carries spin information. The validity of the approximate method is checked by
a more elaborate semiclassical simulation which includes trion formation.
",Spin entanglement using coherent light and cavity-QED,"Title: Entangled Quantum Dot Interactions: Generating Far-Field Bell States via Strongly Coupled Light

This title encapsulates the main focus of the article, which discusses the generation of entangled quantum dot states through the interaction of strongly coupled light, specifically focusing on far-field entanglement generation from atomic-scale interactions",0.55505216,baseline
"  We present a meshfree numerical solver for scalar conservation laws in one
space dimension. Points representing the solution are moved according to their
characteristic velocities. Particle interaction is resolved by purely local
particle management. Since no global remeshing is required, shocks stay sharp
and propagate at the correct speed, while rarefaction waves are created where
appropriate. The method is TVD, entropy decreasing, exactly conservative, and
has no numerical dissipation. Difficulties involving transonic points do not
occur, however inflection points of the flux function pose a slight challenge,
which can be overcome by a special treatment. Away from shocks the method is
second order accurate, while shocks are resolved with first order accuracy. A
postprocessing step can recover the second order accuracy. The method is
compared to CLAWPACK in test cases and is found to yield an increase in
accuracy for comparable resolutions.
",Solving One Dimensional Scalar Conservation Laws by Particle Management,"""Moving Meshless Method: A Novel Numerical Scheme for Scalar Conservation Laws in One Dimension""",0.6957677,baseline
"  We study the Josephson current through a ballistic normal metal layer of
thickness $D$ on which two superconducting electrodes are deposited within a
distance $L$ of each other. In the presence of an ({\it in-layer}) magnetic
field we find that the oscillations of the critical current $I_c(\Phi)$ with
the magnetic flux $\Phi$ are significantly different from an ordinary magnetic
interference pattern. Depending on the ratio $L/D$ and temperature,
$I_c(\Phi)$-oscillations can have a period smaller than flux quantum $\Phi_0$,
nonzero minima and damping rate much smaller than $1/\Phi$. Similar anomalous
magnetic interference pattern was recently observed experimentally.
",Magnetic interference pattern in planar SNS Josephson junctions,"Title: ""Magnetic Interference Patterns in Normal Metal Layers: A Study with Superconducting Cores""",0.50916415,baseline
"  We study the behavior with the number of colors (Nc) of the two poles
associated to the Lambda(1405) resonance obtained dynamically within the chiral
unitary approach. The leading order chiral meson-baryon interaction manifests a
nontrivial Nc dependence for SU(3) baryons, which gives a finite attractive
interaction in some channels in the large Nc limit. As a consequence, the SU(3)
singlet (Kbar N) component of the Lambda(1405) survives in the large Nc limit
as a bound state, while the other components dissolve into the continuum. The
Nc dependence of the decay widths shows different behavior from the general
counting rule for a qqq state, indicating the dynamical origin of the two poles
for the Lambda(1405) resonance.
","Structure of the Lambda(1405) baryon resonance from its large Nc
  behavior","Title: ""The Dynamics and Behavior of the Two Poles Associated to the Lambda(1405) Resonance: A Comprehensive Analysis Using the Chiral Unitary Approach""",0.67983127,baseline
"  When are quantum filters asymptotically independent of the initial state? We
show that this is the case for absolutely continuous initial states when the
quantum stochastic model satisfies an observability condition. When the initial
system is finite dimensional, this condition can be verified explicitly in
terms of a rank condition on the coefficients of the associated quantum
stochastic differential equation.
",The stability of quantum Markov filters,"Asymptotic independence of quantum filter with respect to the initial state: For absolutely continuous initial states, it holds for finitely generated observability conditions. This result has been established by showing explicit verification of the rank condition on the coefficients of the corresponding quantum stochastic differential equation.",0.63633204,baseline
"  Admission control can be employed to avoid congestion in queueing networks
subject to overload. In distributed networks the admission decisions are often
based on imperfect measurements on the network state. This paper studies how
the lack of complete state information affects the system performance by
considering a simple network model for distributed admission control. The
stability region of the network is characterized and it is shown how feedback
signaling makes the system very sensitive to its parameters.
","Stabilization of an overloaded queueing network using measurement-based
  admission control",Admission Control: A New Approach to Queueing Networks,0.8189982,baseline
"  We compute the eigenvalues with multiplicities of the Lichnerowicz Laplacian
acting on the space of symmetric covariant tensor fields on the Euclidian
sphere $S^n$. The spaces of symmetric eigentensors are explicitly given.
","Spectra and symmetric eigentensors of the Lichnerowicz Laplacian on
  $S^n$","Eigendecompositions of the Lichnerowicz Laplacian on symmetric covariant tensors on the sphere are computed, leading to explicit expressions for their eigenvalues and multiplicities.",0.7554477,baseline
